trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
1051,4B 911113,   0.320,  -1.15,  -2.73,131,   0.18
2495,4B 930819,  38.080,  -0.81,  -1.99,328,   0.31
3330,4B 941228,  61.952,  -0.96,  -2.36,664,   0.99
3871,4B 951016-,  44.096,  -1.34, -17.46,192,   0.76
3099,4B 940728-,  31.232,  -1.41,  -2.21,275,   1.31
7386,GRB 990213-,  20.608,  -0.03,  -2.65,381,   0.32
1601,4B 920511-,  48.512,  -0.82,  -2.30,771,   0.71
1551,4B 920413,  29.440,  -0.56,  -1.91,534,   0.31
981,4B 911101,,  -1.01,  -9.54,167,   0.34
2163,4B 930204-,   0.391,  -0.93,  -1.40,323,   0.47
1518,4B 920325-,   1.088,  -1.17, -16.18,727,   0.69
5574,4B 960814, 119.808,  -1.21,  -2.53,144,   0.78
2056,4B 921115,   1.792,  -1.17,  -8.38,256,   0.43
1734,4B 920802,  46.720,  -1.36,  -2.91,68.3,   0.89
6638,GRB 980312,   3.072,  -0.56,  -5.35,892,   1.01
6632,GRB 980309-,  10.688,  -2.00,  -3.93,92.9,   1.62
2940,4B 940419-,,  -1.12,  -2.56,391,   2.39
3895,4B 951104-,   0.768,  -1.07,  -1.43,474,   0.28
5277,4B 960319,   0.496,  -0.26,  -2.05,575,   0.70
7548,GRB 990505,  13.888,  -1.08,  -4.96,225,   1.78
6917,GRB 980712-,   4.416,  -0.03,  -2.17,174,   0.73
3001,4B 940529-,  29.696,  -1.07,  -7.39,218,   1.00
7831,GRB 991030,  72.320,  -0.71,  -2.08,119,   0.72
6353,GRB 970831, 114.496,  -1.19,  -3.06,145,   1.81
7493,GRB 990328, 219.584,  -1.05,  -2.58,65.8,   0.40
7508,GRB 990404-,   0.384,   0.19,  -5.21,290,   0.22
3580,4B 950517,  25.504,  -1.90,  -1.64,2360,   0.55
7605,GRB 990611-,  16.320,  -0.61,  -2.91,140,   2.15
7794,GRB 991009, 131.648,  -1.33,  -7.63,258,   1.27
3043,4B 940623-,   0.104,  -1.64,  -5.12,627,   0.21
2633,4B 931113-,   1.408,  -0.83,  -1.41,345,   0.39
2436,4B 930709-,  33.280,  -1.03,  -9.21,381,   2.14
8089,GRB 000502,   0.123,  -0.57,  -7.63,616,   0.38
2799,4B 940206-,   3.214,  -0.95,  -2.44,137,   2.48
3515,4B 950420,  26.816,  -0.56,  -9.12,109,   0.42
6930,GRB 980718-,  36.800,  -0.33,  -2.29,86.1,   1.91
8059,GRB 000331-,  78.656,  -1.59, -17.26,178,   0.62
6271,GRB 970614-,  60.096,  -1.58,  -4.34,221,   0.64
3119,4B 940812-,  35.584,  -1.91,  -7.33,1080,   0.99
1655,4B 920618,  67.136,   0.07,  -3.22,83.8,   0.36
550,4B 910718-,,  -1.70, -18.63,217,   0.50
2560,4B 931003,  17.792,  -0.76,  -4.24,309,   0.67
5448,4B 960426,   0.896,   0.71,  -2.14,498,   0.31
1167,4B 911213,  24.576,  -1.91,  -7.63,1220,   0.28
1603,4B 920511-,  11.264,  -1.09, -23.18,61.1,   0.87
5513,4B 960623-,  16.992,   2.61,  -2.55,99.9,   0.20
3711,4B 950728,   9.984,  -1.23,  -2.42,107,   0.93
6629,GRB 980306-, 239.552,  -1.47,  -2.15,451,   1.54
871,4B 911006,,  -1.46, -10.92,188,   0.54
5454,4B 960508-,  35.872,   0.44,  -3.32,55.9,   0.56
6375,GRB 970910-,  31.104,  -1.26, -11.18,387,   0.35
108,4B 910424,   3.136,  -1.25,  -6.21,1660,   0.20
2945,4B 940424,   3.392,  -1.19,  -9.60,41.8,   1.38
6440,GRB 971020,  13.376,  -0.66,  -2.37,51.3,   1.58
3130,4B 940821-,  18.496,  -0.08,  -2.92,92.7,   0.42
1467,4B 920307,  26.816,  -1.15,  -2.15,138,   1.27
5421,4B 960414, 266.752,  -0.73, -22.83,200,   0.66
8104,GRB 000513-,   0.384,  -0.13,  -5.05,377,   0.61
2268,4B 930326-,   1.954,  -0.93,  -6.35,210,   0.81
1157,4B 911209-, 170.560,  -1.10,  -2.28,214,   1.54
6454,GRB 971029-, 616.256,  -0.98, -18.63,417,   0.74
6531,GRB 971212,  16.064,  -0.69,  -2.54,79.8,   0.73
6671,GRB 980331-,   0.256,  -0.59,  -6.20,1060,   0.65
160,4B 910507,  17.024,  -0.35,  -3.22,161,   1.28
1606,4B 920513,  88.576,  -1.16,  -2.78,196,   3.10
3906,4B 951113,  20.736,  -1.49,  -2.50,125,   1.41
5503,4B 960617-, 200.032,   1.36,  -3.14,51.3,   0.36
1700,4B 920714-,  23.744,  -1.15,  -2.38,204,   0.69
1815,4B 920814-,  19.776,  -0.83,  -2.51,192,   1.93
2405,4B 930621-,  64.014,  -1.31, -18.63,439,   0.21
7657,GRB 990716-,  51.840,  -1.65,  -3.11,152,   1.14
6153,GRB 970403-,   1.344,   0.44,  -8.38,260,   0.30
7206,GRB 981110,  20.544,  -1.27,  -2.96,156,   0.84
2191,4B 930214-,  25.280,  -1.61,  -1.83,892,   0.64
2353,4B 930526,   1.008,   0.41,  -2.88,214,   0.64
6206,GRB 970424-,   6.464,  -1.71,  -1.57,402,   2.08
2640,4B 931117,  25.984,  -1.22,  -2.93,85.9,   0.85
7352,GRB 990126-,,  -0.62,  -9.54,224,   0.36
2995,4B 940527-,   0.704,  -0.70,  -6.10,376,   0.58
493,4B 910706,   4.864,  -1.07,  -3.82,131,   1.06
7270,GRB 981219,,  -0.59,  -1.96,210,   0.53
491,4B 910705-,   0.100,  -1.31,  -1.28,848,   0.34
1659,4B 920620-,   0.768,   0.52,  -2.66,209,   0.25
3919,4B 951124-,   0.132,  -0.52, -14.90,119,   0.16
2434,4B 930708-,   0.320,  -1.71, -10.64,66.7,   0.51
7358,GRB 990128-,  36.480,  -1.02, -18.63,236,   0.65
2700,4B 931221-,  57.920,  -1.16,  -2.20,218,   1.17
7568,GRB 990516-,  18.560,  -1.91,  -4.81,1680,   0.74
2083,4B 921207-,  15.168,  -1.43,  -2.51,193,   3.87
1200,4B 911221,  27.712,  -0.71,  -2.83,101,   0.86
7969,GRB 000126-,  22.144,  -0.92,  -2.90,74.3,   2.80
6762,GRB 980518-,   7.488,  -0.80,  -2.50,140,   0.92
7862,GRB 991117,  16.704,  -2.16,  -2.38,157,   1.63
6774,GRB 980523,   6.528,  -1.30,  -2.66,162,   0.81
5646,GRB 961027-, 109.248,  -1.49, -11.39,1090,   0.28
5992,GRB 970201-,   0.051,  -1.87,  -2.05,179,   0.25
7187,GRB 981103,   2.070,  -1.11,  -6.10,247,   0.53
7532,GRB 990425-,  39.296,  -1.22, -18.63,226,   0.45
3075,4B 940714-,  43.584,  -1.47,  -2.33,86.6,   0.96
1625,4B 920525-,  16.128,  -0.94,  -2.45,461,   3.44
4745,4B 960205-, 259.488,  -1.45, -13.30,1150,   0.76
6158,GRB 970404-,   8.576,  -1.09,  -3.16,47.8,   0.83
1634,4B 920605,   1.408,  -0.06,  -2.11,536,   0.82
6123,GRB 970315-,   0.186,  -0.46,  -1.95,637,   1.35
2569,4B 931008-,  23.680,  -1.88,  -1.75,3110,   0.75
7060,GRB 980903,   0.146,   0.13, -11.92,225,   0.27
5593,GRB 960906-,  76.416,  -0.57,  -3.42,202,   1.30
2347,4B 930519,  12.160,  -1.92,  -9.54,237,   0.47
7233,GRB 981127,,  -1.35,  -2.27,67.8,   0.49
2977,4B 940515-,   0.576,  -1.28,  -1.52,775,   0.68
8116,GRB 000524,  49.984,  -1.56,  -3.28,294,   0.98
7443,GRB 990303-,,  -1.60,  -2.21,145,   0.51
7601,GRB 990610-,   0.276,  -1.33,  -1.31,376,   0.43
2394,4B 930614-, 140.064,  -1.46,  -8.34,172,   0.67
2797,4B 940203,   8.832,  -1.06,  -2.84,276,   2.96
3093,4B 940722,  89.344,  -1.50,  -2.43,167,   0.68
2453,4B 930721-,  10.112,  -2.01,  -2.57,242,   1.67
7433,GRB 990228-,  39.936,  -0.55,  -2.51,85,   0.43
3709,4B 950726,   4.288,  -0.98, -27.28,103,   0.81
6328,GRB 970807-,  72.128,  -0.23,  -3.10,118,   0.41
3912,4B 951119-,  26.048,  -1.57,  -3.49,157,   1.95
2211,4B 930301,  84.224,  -0.89,  -3.59,297,   1.00
1384,4B 920210-,  49.152,  -0.92,  -3.09,104,   0.82
2800,4B 940207-,   0.448,  -0.96,  -2.00,407,   0.20
